complaint_text,domain,officer_id,priority,eta_days
Road tax was paid 10 days ago but vehicle registration portal shows as pending. Please take urgent action.,taxation,OFF009,High,27
Received income tax notice with wrong PAN number. My returns are filed but notice not withdrawn.,taxation,OFF009,Medium,18
Broken dustbins on Lal Bagh Road are causing litter to spread across the road and nearby shops. This is not the first time this has happened.,sanitation,OFF003,High,5
URGENT: Internet and cable services have been disrupted in Koramangala for 30 days affecting work from home.,utilities,OFF002,High,4
Water meter readings in Krishna Nagar are incorrect. Getting bills for double the actual usage. This is not the first time this has happened.,water_supply,OFF004,Medium,5
URGENT: The electric meter box outside Central Park is open and exposed to rain. Very dangerous.,electricity,OFF005,High,1
URGENT: The public park benches at Central Park are broken and unsafe for children and senior citizens.,infrastructure,OFF001,High,13
Open defecation is happening near City Hospital due to lack of public toilets. Urgent action needed.,sanitation,OFF003,Medium,1
URGENT: Medical oxygen cylinders at Railway Station hospital are empty. ICU patients at risk.,healthcare,OFF006,High,2
Water coming from taps in Gomti Nagar is brownish and smells bad. Definitely contaminated. Kindly resolve at the earliest.,water_supply,OFF004,Medium,6
URGENT: Building near Main Market is under construction without valid permits blocking emergency exit roads.,housing,OFF010,High,7
New tax levied on Salt Lake residents without proper public notification or justification.,taxation,OFF009,High,25
Received income tax notice with wrong PAN number. My returns are filed but notice not withdrawn. Kindly resolve at the earliest.,taxation,OFF009,High,11
The public park benches at Main Market are broken and unsafe for children and senior citizens.,infrastructure,OFF001,Medium,5
The electric meter box outside District Court is open and exposed to rain. Very dangerous.,electricity,OFF005,Medium,10
Unhygienic food being sold near District Court hospital. Multiple food poisoning cases reported.,healthcare,OFF006,High,3
The footpath on Sector 14 is completely broken and dangerous for pedestrians especially elderly people.,infrastructure,OFF001,Medium,3
The public toilet at Main Market has been locked for 5 days leaving no facility for residents. This is not the first time this has happened.,sanitation,OFF003,Low,1
Tax exemption for senior citizen in Banjara Hills was removed without notice or reason this year. We have been suffering for a long time.,taxation,OFF009,Low,22
Street vendor electricity connections on Brigade Road are illegally tapped causing overload issues. We have been suffering for a long time.,utilities,OFF002,High,1
URGENT: Underground utility cables are exposed on Lal Bagh Road posing serious electrocution risk.,utilities,OFF002,High,7
URGENT: Internet and cable services have been disrupted in Sector 4 for 2 days affecting work from home.,utilities,OFF002,High,1
Encroachment on public land near Lal Bagh Road has reduced the road width to dangerous levels.,housing,OFF010,Medium,50
The water tank at Government School has overflowed for 17 consecutive days wasting thousands of litres. Kindly resolve at the earliest.,water_supply,OFF004,Medium,5
The road divider on Brigade Road was damaged in an accident last week and has not been repaired creating traffic hazards. Please take urgent action.,infrastructure,OFF001,Low,35
The railway station at Post Office has no proper lighting in the parking area causing theft.,transport,OFF007,High,10
The public toilet at City Hospital has been locked for 23 days leaving no facility for residents. This is not the first time this has happened.,sanitation,OFF003,High,4
Construction of building on Sector 14 is illegal as it violates floor space index regulations. Kindly resolve at the earliest.,housing,OFF010,Low,57
Speed breakers on Rajiv Chowk have been damaged and are not visible causing accidents at night. This is not the first time this has happened.,infrastructure,OFF001,Low,21
Low water pressure in Banjara Hills since 29 days. Water does not reach above first floor. This is not the first time this has happened.,water_supply,OFF004,High,8
Firecrackers being burst in Krishna Nagar every night for 22 days causing distress to elderly and children. Kindly resolve at the earliest.,noise_pollution,OFF008,High,2
The water tank at Post Office has overflowed for 4 consecutive days wasting thousands of litres. Please take urgent action.,water_supply,OFF004,Medium,1
My GST registration application has been pending for 24 days without any response. We have been suffering for a long time.,taxation,OFF009,Low,18
The water tank at Main Market has overflowed for 15 consecutive days wasting thousands of litres. Kindly resolve at the earliest.,water_supply,OFF004,High,3
Slum demolition in Gomti Nagar was done without proper notice or rehabilitation arrangements for 15 families.,housing,OFF010,Medium,44
Internet and cable services have been disrupted in Koramangala for 2 days affecting work from home. We have been suffering for a long time.,utilities,OFF002,High,1
Streetlights in Andheri West are on during daytime wasting electricity for 3 days. We have been suffering for a long time.,electricity,OFF005,High,1
Building near Railway Station is under construction without valid permits blocking emergency exit roads.,housing,OFF010,High,29
Electricity bill for Banjara Hills is three times higher than usual without any increase in usage.,electricity,OFF005,High,3
Internet and cable services have been disrupted in Andheri West for 25 days affecting work from home. Kindly resolve at the earliest.,utilities,OFF002,Medium,8
Rental agreement disputes in Ward 7 — landlord has locked the property illegally during tenancy. Please take urgent action.,housing,OFF010,High,10
Property tax amount for Ward 7 is higher than neighbouring properties of same size without reason. Kindly resolve at the earliest.,taxation,OFF009,Medium,45
URGENT: Streetlights in Gomti Nagar are on during daytime wasting electricity for 28 days.,electricity,OFF005,High,1
My house in Whitefield was flooded due to nearby illegal construction blocking the natural drain. Please take urgent action.,housing,OFF010,Medium,31
The bridge near Town Hall is showing cracks and looks structurally unsafe. Immediate inspection required. Please take urgent action.,infrastructure,OFF001,High,8
Streetlights in Banjara Hills are on during daytime wasting electricity for 20 days.,electricity,OFF005,High,2
Construction work on Civil Lines continues all night violating noise pollution norms. No sleep for 12 days.,noise_pollution,OFF008,Medium,4
The drain near Lal Bagh Road is completely clogged with garbage causing flooding during rains. We have been suffering for a long time.,sanitation,OFF003,Medium,7
Mosquito breeding in stagnant water near Town Hall due to poor drainage in Gomti Nagar.,sanitation,OFF003,Medium,7
Fake medical practitioners operating clinic on Brigade Road without valid license. Please take urgent action.,healthcare,OFF006,High,4
Traffic signal at Rajiv Chowk junction has been non-functional for 21 days causing accidents. Kindly resolve at the earliest.,transport,OFF007,Medium,20
Dead animals on Brigade Road have not been removed for 23 days causing disease outbreak risk. Kindly resolve at the earliest.,sanitation,OFF003,High,6
Illegal DJ parties in open ground near Main Market till 3am disturbing entire neighbourhood.,noise_pollution,OFF008,Medium,2
The pedestrian crossing near Central Park school has no zebra markings. Children in danger.,transport,OFF007,High,2
Construction of building on Gandhi Nagar is illegal as it violates floor space index regulations.,housing,OFF010,High,28
A factory near Government School is running heavy machinery at night causing unbearable noise pollution. We have been suffering for a long time.,noise_pollution,OFF008,Medium,8
URGENT: Electricity bill for Sector 4 is three times higher than usual without any increase in usage.,electricity,OFF005,High,6
Illegal parking of commercial vehicles on Rajiv Chowk blocks traffic for hours every day. Please take urgent action.,transport,OFF007,High,9
Potholes on the main highway near District Court causing frequent accidents and vehicle damage. Kindly resolve at the earliest.,transport,OFF007,Low,25
Road tax was paid 8 days ago but vehicle registration portal shows as pending.,taxation,OFF009,Medium,36
URGENT: Promised amenities in housing scheme at Main Market were not delivered even after 27 days of possession.,housing,OFF010,High,14
The borewell at Government School has dried up leaving the community with no water source. We have been suffering for a long time.,water_supply,OFF004,High,1
Repeated tripping of main supply in Andheri West causing power cuts 11 times a day. This is not the first time this has happened.,electricity,OFF005,Low,5
Loudspeakers at Government School play music beyond permitted decibel levels daily disturbing residents. We have been suffering for a long time.,noise_pollution,OFF008,Medium,3
Multiple utility poles on Brigade Road are leaning and may fall during the next storm. This is not the first time this has happened.,utilities,OFF002,Medium,9
Property tax amount for Powai is higher than neighbouring properties of same size without reason.,taxation,OFF009,Medium,36
The municipal wifi hotspot at Main Market has not been working for 27 days.,utilities,OFF002,Medium,6
The bridge near City Hospital is showing cracks and looks structurally unsafe. Immediate inspection required. Please take urgent action.,infrastructure,OFF001,High,15
The public telephone booth at City Hospital is completely damaged and non-functional.,utilities,OFF002,Medium,4
The transformer in Gomti Nagar exploded last night. No power since then. No response from electricity board. This is not the first time this has happened.,electricity,OFF005,Low,9
The government hospital at Town Hall does not have doctors available for 15 days. Patients suffering.,healthcare,OFF006,Medium,5
The transformer in Banjara Hills exploded last night. No power since then. No response from electricity board. We have been suffering for a long time.,electricity,OFF005,Low,14
The public telephone booth at City Hospital is completely damaged and non-functional. Kindly resolve at the earliest.,utilities,OFF002,High,3
Auto rickshaw drivers in Krishna Nagar are refusing to go by meter and overcharging passengers.,transport,OFF007,Low,9
URGENT: Low water pressure in Banjara Hills since 15 days. Water does not reach above first floor.,water_supply,OFF004,High,6
Received income tax notice with wrong PAN number. My returns are filed but notice not withdrawn. We have been suffering for a long time.,taxation,OFF009,High,15
The transformer in Gomti Nagar exploded last night. No power since then. No response from electricity board. Kindly resolve at the earliest.,electricity,OFF005,High,2
Construction work on Gandhi Nagar continues all night violating noise pollution norms. No sleep for 28 days. Please take urgent action.,noise_pollution,OFF008,Medium,11
Dangling live electric wire on Lal Bagh Road near District Court is a life-threatening hazard. Kindly resolve at the earliest.,electricity,OFF005,Medium,6
The vaccination camp scheduled at Old Bus Stand was cancelled without notice for 11 weeks.,healthcare,OFF006,Low,1
URGENT: Mosquito breeding in stagnant water near City Hospital due to poor drainage in Koramangala.,sanitation,OFF003,High,4
Sewage water is mixing with drinking water pipeline near Nehru Street. Very serious health risk. Please take urgent action.,water_supply,OFF004,Medium,2
The bridge near Town Hall is showing cracks and looks structurally unsafe. Immediate inspection required. Kindly resolve at the earliest.,infrastructure,OFF001,Medium,24
Sewage water is mixing with drinking water pipeline near Gandhi Nagar. Very serious health risk. This is not the first time this has happened.,water_supply,OFF004,Medium,8
The housing society at City Hospital is denying flat possession despite full payment 28 days ago. We have been suffering for a long time.,housing,OFF010,Low,39
A burst pipe on Sector 14 has been flooding the road for 18 days. No repair work started. This is not the first time this has happened.,water_supply,OFF004,Medium,1
E-rickshaw operators in Gomti Nagar are overloading passengers dangerously beyond capacity. This is not the first time this has happened.,transport,OFF007,Medium,18
E-rickshaw operators in Powai are overloading passengers dangerously beyond capacity. This is not the first time this has happened.,transport,OFF007,Low,4
The municipal wifi hotspot at Main Market has not been working for 10 days. Please take urgent action.,utilities,OFF002,High,3
The water tank at Municipal Office has overflowed for 28 consecutive days wasting thousands of litres. We have been suffering for a long time.,water_supply,OFF004,High,7
Gas pipeline leak detected near MG Road. Strong smell of gas in the area since 10 hours. Please take urgent action.,utilities,OFF002,High,1
Construction work on MG Road continues all night violating noise pollution norms. No sleep for 21 days. Please take urgent action.,noise_pollution,OFF008,Low,12
High voltage fluctuation on Sector 14 damaged our appliances. Need compensation and immediate fix. This is not the first time this has happened.,electricity,OFF005,High,5
Speed breakers on Civil Lines have been damaged and are not visible causing accidents at night. Kindly resolve at the earliest.,infrastructure,OFF001,High,3
Rental agreement disputes in Gomti Nagar — landlord has locked the property illegally during tenancy.,housing,OFF010,Low,60
Gas pipeline leak detected near Lal Bagh Road. Strong smell of gas in the area since 11 hours. We have been suffering for a long time.,utilities,OFF002,Medium,1
My GST registration application has been pending for 26 days without any response.,taxation,OFF009,Medium,34
Property tax amount for Andheri West is higher than neighbouring properties of same size without reason.,taxation,OFF009,Low,61
The drain near Nehru Street is completely clogged with garbage causing flooding during rains. Kindly resolve at the earliest.,sanitation,OFF003,Medium,8
The road on Rajiv Chowk has large potholes that have been causing accidents for 29 days. Several vehicles have been damaged.,infrastructure,OFF001,Low,4
Gas pipeline leak detected near Sector 14. Strong smell of gas in the area since 19 hours. We have been suffering for a long time.,utilities,OFF002,Low,16
Mosquito breeding in stagnant water near District Court due to poor drainage in Banjara Hills. We have been suffering for a long time.,sanitation,OFF003,Low,11
Common areas in government housing at Post Office are being illegally encroached upon. Please take urgent action.,housing,OFF010,High,21
Stray dogs are feeding on garbage dumped near Nehru Street creating health and safety risks. This is not the first time this has happened.,sanitation,OFF003,Low,5
My GST registration application has been pending for 9 days without any response. Kindly resolve at the earliest.,taxation,OFF009,High,19
Streetlights in Ward 7 are on during daytime wasting electricity for 25 days. This is not the first time this has happened.,electricity,OFF005,High,3
URGENT: Doctor at Main Market clinic demanding extra cash for treatments covered under government scheme.,healthcare,OFF006,High,3
Illegal DJ parties in open ground near Railway Station till 3am disturbing entire neighbourhood. This is not the first time this has happened.,noise_pollution,OFF008,Medium,13
The substation on MG Road is making loud humming noise and smells of burning for 30 days. We have been suffering for a long time.,electricity,OFF005,High,4
Stray dogs are feeding on garbage dumped near Gandhi Nagar creating health and safety risks.,sanitation,OFF003,Medium,6
Tax deducted twice for Krishna Nagar property this quarter. Requesting refund of excess amount. Kindly resolve at the earliest.,taxation,OFF009,High,19
Gas pipeline leak detected near Gandhi Nagar. Strong smell of gas in the area since 13 hours. This is not the first time this has happened.,utilities,OFF002,High,1
The footpath on Rajiv Chowk is completely broken and dangerous for pedestrians especially elderly people. Please take urgent action.,infrastructure,OFF001,High,10
The substation on Anna Salai is making loud humming noise and smells of burning for 10 days.,electricity,OFF005,Low,12
Street vendor electricity connections on Lal Bagh Road are illegally tapped causing overload issues. Please take urgent action.,utilities,OFF002,High,1
Common areas in government housing at City Hospital are being illegally encroached upon. We have been suffering for a long time.,housing,OFF010,Medium,52
Underground utility cables are exposed on Shastri Marg posing serious electrocution risk.,utilities,OFF002,High,1
Received income tax notice with wrong PAN number. My returns are filed but notice not withdrawn.,taxation,OFF009,Medium,36
Street vendor electricity connections on Civil Lines are illegally tapped causing overload issues. We have been suffering for a long time.,utilities,OFF002,High,6
The transformer in Banjara Hills exploded last night. No power since then. No response from electricity board.,electricity,OFF005,High,4
Tax deducted twice for Sector 4 property this quarter. Requesting refund of excess amount.,taxation,OFF009,Low,26
Dengue outbreak in Krishna Nagar - 15 cases confirmed. No fumigation or awareness drive started. Please take urgent action.,healthcare,OFF006,High,1
Electricity bill for Andheri West is three times higher than usual without any increase in usage. This is not the first time this has happened.,electricity,OFF005,Low,2
The road on Sector 14 has large potholes that have been causing accidents for 22 days. Several vehicles have been damaged. Please take urgent action.,infrastructure,OFF001,High,9
Property tax amount for Powai is higher than neighbouring properties of same size without reason. This is not the first time this has happened.,taxation,OFF009,Medium,23
The transformer in Gomti Nagar exploded last night. No power since then. No response from electricity board. Please take urgent action.,electricity,OFF005,Medium,5
Street vendor electricity connections on Rajiv Chowk are illegally tapped causing overload issues. Kindly resolve at the earliest.,utilities,OFF002,Low,8
Street vendor electricity connections on MG Road are illegally tapped causing overload issues.,utilities,OFF002,Medium,13
Honking near Government School school zone is continuous despite no-horn boards. Students cannot concentrate. Please take urgent action.,noise_pollution,OFF008,High,7
The transformer on Rajiv Chowk is producing loud sparking sounds since last night. Very dangerous. Kindly resolve at the earliest.,utilities,OFF002,Medium,11
Rental agreement disputes in Andheri West — landlord has locked the property illegally during tenancy. Kindly resolve at the earliest.,housing,OFF010,Medium,35
The railway station at City Hospital has no proper lighting in the parking area causing theft.,transport,OFF007,High,6
A temple near Sector 4 uses loudspeakers at 4am daily. Residents have complained 7 times. We have been suffering for a long time.,noise_pollution,OFF008,Medium,10
The municipal wifi hotspot at Town Hall has not been working for 28 days. Kindly resolve at the earliest.,utilities,OFF002,High,6
URGENT: Street lights on Shastri Marg have not been working since 24 days causing safety issues at night.,infrastructure,OFF001,High,7
Flyover construction debris has not been cleared from Civil Lines for 28 days causing major traffic issues. We have been suffering for a long time.,infrastructure,OFF001,High,15
Firecrackers being burst in Powai every night for 28 days causing distress to elderly and children.,noise_pollution,OFF008,Medium,3
The electric meter box outside Old Bus Stand is open and exposed to rain. Very dangerous. Kindly resolve at the earliest.,electricity,OFF005,Medium,9
The vaccination camp scheduled at District Court was cancelled without notice for 15 weeks. Kindly resolve at the earliest.,healthcare,OFF006,Medium,7
Received income tax notice with wrong PAN number. My returns are filed but notice not withdrawn.,taxation,OFF009,Medium,31
Government housing allotted to someone else despite my name on the official list for Whitefield. This is not the first time this has happened.,housing,OFF010,Low,44
Power outage in Ward 7 for 22 days. Medicines in refrigerators are spoiling. Elderly patients suffering. Kindly resolve at the earliest.,electricity,OFF005,High,6
The water pipeline on Civil Lines is leaking heavily causing waterlogging and water wastage. We have been suffering for a long time.,water_supply,OFF004,Medium,5
The footpath on Gandhi Nagar is completely broken and dangerous for pedestrians especially elderly people. We have been suffering for a long time.,infrastructure,OFF001,High,14
Doctor at Old Bus Stand clinic demanding extra cash for treatments covered under government scheme. This is not the first time this has happened.,healthcare,OFF006,High,1
Fake medical practitioners operating clinic on Shastri Marg without valid license. We have been suffering for a long time.,healthcare,OFF006,Medium,6
Traffic signal at Shastri Marg junction has been non-functional for 30 days causing accidents.,transport,OFF007,Medium,13
Road tax was paid 29 days ago but vehicle registration portal shows as pending. Kindly resolve at the earliest.,taxation,OFF009,Medium,16
A burst pipe on Gandhi Nagar has been flooding the road for 8 days. No repair work started.,water_supply,OFF004,Medium,1
URGENT: The pedestrian crossing near Town Hall school has no zebra markings. Children in danger.,transport,OFF007,High,4
URGENT: Received property tax notice for Koramangala property with incorrect assessment value. Need correction.,taxation,OFF009,High,4
The borewell at Old Bus Stand has dried up leaving the community with no water source.,water_supply,OFF004,Medium,2
No water supply in Andheri West for 2 days. Residents are buying expensive tankers just to survive. This is not the first time this has happened.,water_supply,OFF004,Medium,5
Open defecation is happening near Town Hall due to lack of public toilets. Urgent action needed.,sanitation,OFF003,Medium,3
Bus driver on route 20 was drunk and driving rashly. Passengers feared for their lives. Kindly resolve at the earliest.,transport,OFF007,Medium,9
New tax levied on Gomti Nagar residents without proper public notification or justification. We have been suffering for a long time.,taxation,OFF009,High,19
Water coming from taps in Salt Lake is brownish and smells bad. Definitely contaminated. We have been suffering for a long time.,water_supply,OFF004,Low,12
URGENT: Water supply timing in Krishna Nagar has changed without notice causing major inconvenience.,water_supply,OFF004,High,2
The railway station at Municipal Office has no proper lighting in the parking area causing theft. We have been suffering for a long time.,transport,OFF007,Medium,16
The public telephone booth at Central Park is completely damaged and non-functional. Kindly resolve at the earliest.,utilities,OFF002,High,1
The road on Anna Salai has large potholes that have been causing accidents for 1 days. Several vehicles have been damaged. This is not the first time this has happened.,infrastructure,OFF001,Low,40
Bar and restaurant on Anna Salai plays loud music past midnight regularly violating rules. Please take urgent action.,noise_pollution,OFF008,Medium,11
Bus driver on route 13 was drunk and driving rashly. Passengers feared for their lives. Kindly resolve at the earliest.,transport,OFF007,High,4
Dangling live electric wire on Rajiv Chowk near Post Office is a life-threatening hazard. Kindly resolve at the earliest.,electricity,OFF005,High,1
The road on MG Road has large potholes that have been causing accidents for 20 days. Several vehicles have been damaged.,infrastructure,OFF001,Medium,23
Mosquito breeding in stagnant water near District Court due to poor drainage in Salt Lake. Kindly resolve at the earliest.,sanitation,OFF003,Low,12
Rental agreement disputes in Sector 4 — landlord has locked the property illegally during tenancy.,housing,OFF010,Low,18
Open defecation is happening near Main Market due to lack of public toilets. Urgent action needed.,sanitation,OFF003,Medium,1
A temple near Andheri West uses loudspeakers at 4am daily. Residents have complained 13 times. Kindly resolve at the earliest.,noise_pollution,OFF008,High,6
Water coming from taps in Koramangala is brownish and smells bad. Definitely contaminated. Please take urgent action.,water_supply,OFF004,High,7
Honking near Old Bus Stand school zone is continuous despite no-horn boards. Students cannot concentrate. Kindly resolve at the earliest.,noise_pollution,OFF008,Low,12
Received property tax notice for Powai property with incorrect assessment value. Need correction. Please take urgent action.,taxation,OFF009,Medium,12
Honking near Main Market school zone is continuous despite no-horn boards. Students cannot concentrate. This is not the first time this has happened.,noise_pollution,OFF008,Low,4
Potholes on the main highway near City Hospital causing frequent accidents and vehicle damage. This is not the first time this has happened.,transport,OFF007,High,2
Auto rickshaw drivers in Powai are refusing to go by meter and overcharging passengers. Kindly resolve at the earliest.,transport,OFF007,Medium,10
Power outage in Gomti Nagar for 23 days. Medicines in refrigerators are spoiling. Elderly patients suffering. Please take urgent action.,electricity,OFF005,High,3
Bar and restaurant on Brigade Road plays loud music past midnight regularly violating rules. We have been suffering for a long time.,noise_pollution,OFF008,High,3
A temple near Salt Lake uses loudspeakers at 4am daily. Residents have complained 20 times.,noise_pollution,OFF008,High,5
A burst pipe on Nehru Street has been flooding the road for 18 days. No repair work started. This is not the first time this has happened.,water_supply,OFF004,High,8
The borewell at Old Bus Stand has dried up leaving the community with no water source. This is not the first time this has happened.,water_supply,OFF004,High,5
The government hospital at Central Park does not have doctors available for 15 days. Patients suffering. Kindly resolve at the earliest.,healthcare,OFF006,High,1
Construction work on Rajiv Chowk continues all night violating noise pollution norms. No sleep for 5 days. This is not the first time this has happened.,noise_pollution,OFF008,Medium,14
Property tax amount for Andheri West is higher than neighbouring properties of same size without reason. This is not the first time this has happened.,taxation,OFF009,Medium,23
The borewell at District Court has dried up leaving the community with no water source. We have been suffering for a long time.,water_supply,OFF004,Low,14
Sewage water is mixing with drinking water pipeline near Sector 14. Very serious health risk. This is not the first time this has happened.,water_supply,OFF004,Medium,1
The public park benches at City Hospital are broken and unsafe for children and senior citizens. This is not the first time this has happened.,infrastructure,OFF001,High,7
Slum demolition in Whitefield was done without proper notice or rehabilitation arrangements for 12 families. Kindly resolve at the earliest.,housing,OFF010,High,15
Bar and restaurant on Shastri Marg plays loud music past midnight regularly violating rules.,noise_pollution,OFF008,Low,5
Power outage in Powai for 21 days. Medicines in refrigerators are spoiling. Elderly patients suffering.,electricity,OFF005,High,2
A temple near Ward 7 uses loudspeakers at 4am daily. Residents have complained 18 times.,noise_pollution,OFF008,Medium,6
Expired medicines are being distributed at the health centre near Gomti Nagar. Serious negligence. Please take urgent action.,healthcare,OFF006,High,1
Street lights on Lal Bagh Road have not been working since 23 days causing safety issues at night. We have been suffering for a long time.,infrastructure,OFF001,Medium,18
The borewell at Old Bus Stand has dried up leaving the community with no water source. Please take urgent action.,water_supply,OFF004,High,6
Unhygienic food being sold near Railway Station hospital. Multiple food poisoning cases reported. We have been suffering for a long time.,healthcare,OFF006,High,2
Fake medical practitioners operating clinic on Rajiv Chowk without valid license. Please take urgent action.,healthcare,OFF006,High,2
The footpath on Shastri Marg is completely broken and dangerous for pedestrians especially elderly people. Kindly resolve at the earliest.,infrastructure,OFF001,Medium,16
Encroachment on public land near Rajiv Chowk has reduced the road width to dangerous levels.,housing,OFF010,High,13
URGENT: Illegal electricity connections tapped from main line on Sector 14 causing frequent outages.,electricity,OFF005,High,1
A factory near Post Office is running heavy machinery at night causing unbearable noise pollution. Please take urgent action.,noise_pollution,OFF008,Low,8
Loudspeakers at Main Market play music beyond permitted decibel levels daily disturbing residents.,noise_pollution,OFF008,Medium,3
Received property tax notice for Powai property with incorrect assessment value. Need correction. We have been suffering for a long time.,taxation,OFF009,High,8
Street lights on Shastri Marg have not been working since 24 days causing safety issues at night.,infrastructure,OFF001,Medium,26
Water supply timing in Ward 7 has changed without notice causing major inconvenience. We have been suffering for a long time.,water_supply,OFF004,Medium,11
Potholes on the main highway near City Hospital causing frequent accidents and vehicle damage.,transport,OFF007,High,6
Power outage in Gomti Nagar for 3 days. Medicines in refrigerators are spoiling. Elderly patients suffering. Kindly resolve at the earliest.,electricity,OFF005,High,1
The footpath on Civil Lines is completely broken and dangerous for pedestrians especially elderly people.,infrastructure,OFF001,High,18
The transformer on Rajiv Chowk is producing loud sparking sounds since last night. Very dangerous. Kindly resolve at the earliest.,utilities,OFF002,High,6
Sewage water is mixing with drinking water pipeline near Anna Salai. Very serious health risk. We have been suffering for a long time.,water_supply,OFF004,High,2
Repeated tripping of main supply in Koramangala causing power cuts 10 times a day. Please take urgent action.,electricity,OFF005,Low,9
The sanitation workers in Salt Lake have not come for 22 days after the festival. Garbage piling up. We have been suffering for a long time.,sanitation,OFF003,High,1
E-rickshaw operators in Powai are overloading passengers dangerously beyond capacity. This is not the first time this has happened.,transport,OFF007,Medium,8
Sewage water is mixing with drinking water pipeline near Lal Bagh Road. Very serious health risk. This is not the first time this has happened.,water_supply,OFF004,Medium,6
"URGENT: No sanitation in government hospital at Railway Station. Toilets not cleaned, wards have foul smell.",healthcare,OFF006,High,3
High voltage fluctuation on Rajiv Chowk damaged our appliances. Need compensation and immediate fix.,electricity,OFF005,High,2
Government housing allotted to someone else despite my name on the official list for Banjara Hills. This is not the first time this has happened.,housing,OFF010,High,30
Expired medicines are being distributed at the health centre near Gomti Nagar. Serious negligence. This is not the first time this has happened.,healthcare,OFF006,Medium,7
Medical oxygen cylinders at City Hospital hospital are empty. ICU patients at risk. We have been suffering for a long time.,healthcare,OFF006,Low,4
URGENT: New tax levied on Krishna Nagar residents without proper public notification or justification.,taxation,OFF009,High,15
Common areas in government housing at Old Bus Stand are being illegally encroached upon.,housing,OFF010,Low,22
Road tax was paid 20 days ago but vehicle registration portal shows as pending. Kindly resolve at the earliest.,taxation,OFF009,High,4
Received property tax notice for Koramangala property with incorrect assessment value. Need correction. We have been suffering for a long time.,taxation,OFF009,Low,40
Garbage has not been collected from Koramangala for 30 days. The smell is unbearable and health hazard. Please take urgent action.,sanitation,OFF003,Medium,8
The sanitation workers in Sector 4 have not come for 16 days after the festival. Garbage piling up.,sanitation,OFF003,High,1
The road divider on Gandhi Nagar was damaged in an accident last week and has not been repaired creating traffic hazards. Kindly resolve at the earliest.,infrastructure,OFF001,High,15
Illegal DJ parties in open ground near Municipal Office till 3am disturbing entire neighbourhood.,noise_pollution,OFF008,Medium,6
Open defecation is happening near Town Hall due to lack of public toilets. Urgent action needed. This is not the first time this has happened.,sanitation,OFF003,Low,9
The vaccination camp scheduled at Town Hall was cancelled without notice for 19 weeks. This is not the first time this has happened.,healthcare,OFF006,High,4
Tax deducted twice for Whitefield property this quarter. Requesting refund of excess amount. We have been suffering for a long time.,taxation,OFF009,Medium,33
Traffic signal at Shastri Marg junction has been non-functional for 21 days causing accidents.,transport,OFF007,Medium,12
The public telephone booth at District Court is completely damaged and non-functional. Please take urgent action.,utilities,OFF002,Low,18
Gas pipeline leak detected near Civil Lines. Strong smell of gas in the area since 10 hours. This is not the first time this has happened.,utilities,OFF002,High,1
URGENT: The bridge near Railway Station is showing cracks and looks structurally unsafe. Immediate inspection required.,infrastructure,OFF001,High,4
The transformer in Andheri West exploded last night. No power since then. No response from electricity board.,electricity,OFF005,Low,8
The road divider on Lal Bagh Road was damaged in an accident last week and has not been repaired creating traffic hazards.,infrastructure,OFF001,High,7
The drain near MG Road is completely clogged with garbage causing flooding during rains. Please take urgent action.,sanitation,OFF003,High,3
E-rickshaw operators in Andheri West are overloading passengers dangerously beyond capacity.,transport,OFF007,High,6
Construction of building on Sector 14 is illegal as it violates floor space index regulations. Kindly resolve at the earliest.,housing,OFF010,Medium,57
The housing society at City Hospital is denying flat possession despite full payment 17 days ago.,housing,OFF010,Low,35
Fake medical practitioners operating clinic on Anna Salai without valid license. Please take urgent action.,healthcare,OFF006,High,1
Tax exemption for senior citizen in Banjara Hills was removed without notice or reason this year.,taxation,OFF009,Low,53
Garbage has not been collected from Andheri West for 19 days. The smell is unbearable and health hazard. Please take urgent action.,sanitation,OFF003,Medium,4
Water coming from taps in Whitefield is brownish and smells bad. Definitely contaminated. Kindly resolve at the earliest.,water_supply,OFF004,Medium,7
Received property tax notice for Sector 4 property with incorrect assessment value. Need correction.,taxation,OFF009,Medium,33
The public telephone booth at District Court is completely damaged and non-functional. This is not the first time this has happened.,utilities,OFF002,Medium,9
Internet and cable services have been disrupted in Ward 7 for 17 days affecting work from home.,utilities,OFF002,Medium,9
Bar and restaurant on Anna Salai plays loud music past midnight regularly violating rules. Kindly resolve at the earliest.,noise_pollution,OFF008,High,1
A factory near Town Hall is running heavy machinery at night causing unbearable noise pollution. This is not the first time this has happened.,noise_pollution,OFF008,Low,16
The road divider on Nehru Street was damaged in an accident last week and has not been repaired creating traffic hazards.,infrastructure,OFF001,High,2
Construction work on Rajiv Chowk continues all night violating noise pollution norms. No sleep for 16 days. Kindly resolve at the earliest.,noise_pollution,OFF008,Low,11
Flyover construction debris has not been cleared from Nehru Street for 14 days causing major traffic issues. We have been suffering for a long time.,infrastructure,OFF001,High,10
A temple near Sector 4 uses loudspeakers at 4am daily. Residents have complained 20 times. This is not the first time this has happened.,noise_pollution,OFF008,High,4
Dead animals on Gandhi Nagar have not been removed for 2 days causing disease outbreak risk. Please take urgent action.,sanitation,OFF003,Medium,1
Fake medical practitioners operating clinic on Civil Lines without valid license. Kindly resolve at the earliest.,healthcare,OFF006,High,3
The public park benches at Municipal Office are broken and unsafe for children and senior citizens. This is not the first time this has happened.,infrastructure,OFF001,High,10
